question_id,document,question,reference_answer,gold_node_id,gold_section,gold_page,question_type,answer_items,notes
colorectal_cancer_screening_01,colorectal_cancer_screening,What is the recommended starting age for routine colorectal cancer screening according to the USPSTF?,The USPSTF expanded the recommended ages for colorectal cancer screening to 45 years.,0003,Additional Information,2,numeric_threshold,,
colorectal_cancer_screening_02,colorectal_cancer_screening,What is the upper age limit for routine colorectal cancer screening recommended by the USPSTF?,The USPSTF recommends screening for colorectal cancer in adults up to 75 years of age.,0003,Additional Information,2,numeric_threshold,,
colorectal_cancer_screening_03,colorectal_cancer_screening,"For adults aged 76 to 85 years, what is the USPSTF recommendation regarding colorectal cancer screening?",The USPSTF continues to recommend selectively screening adults aged 76 to 85 years for colorectal cancer.,0003,Additional Information,2,age_band_lookup,,
colorectal_cancer_screening_04,colorectal_cancer_screening,What is the net benefit of colorectal cancer screening for adults aged 76 to 85 years who have been previously screened?,The USPSTF concludes with moderate certainty that screening for colorectal cancer in adults aged 76 to 85 years who have been previously screened has small net benefit.,0006,Patient Population Under Consideration,4,age_band_lookup,,
colorectal_cancer_screening_05,colorectal_cancer_screening,What are the types of colorectal cancer screening tests for which the assessment of net benefit applies?,"The assessment of net benefit applies to stool-based tests with high sensitivity, colonoscopy, computed tomography (CT) colonography, and flexible sigmoidoscopy.",0006,Patient Population Under Consideration,4,list_based,stool-based tests with high sensitivity|colonoscopy|computed tomography (CT) colonography|flexible sigmoidoscopy,
colorectal_cancer_screening_06,colorectal_cancer_screening,What are the recommended screening intervals for various colorectal cancer tests?,Recommended intervals for colorectal cancer screening tests include High-sensitivity gFOBT or FIT every year; sDNA-FIT every 1 to 3 years; CT colonography every 5 years; Flexible sigmoidoscopy every 5 years; Flexible sigmoidoscopy every 10 years + FIT every year; and Colonoscopy screening every 10 years.,0012,Screening Intervals,6,list_based,High-sensitivity gFOBT or FIT every year|sDNA-FIT every 1 to 3 years|CT colonography every 5 years|Flexible sigmoidoscopy every 5 years|Flexible sigmoidoscopy every 10 years + FIT every year|Colonoscopy screening every 10 years,
colorectal_cancer_screening_07,colorectal_cancer_screening,What follow-up action is needed when stool-based colorectal cancer tests reveal abnormal results?,"When stool-based tests reveal abnormal results, follow-up with colonoscopy is needed for further evaluation.",0010,Direct Visualization Tests,5,information_extraction,,
colorectal_cancer_screening_08,colorectal_cancer_screening,What is the general treatment for localized colorectal cancer?,Localized cancer is generally treated with surgical resection.,0013,Treatment or Interventions,6,information_extraction,,
colorectal_cancer_screening_09,colorectal_cancer_screening,Which annual stool-based screening tests are estimated to provide greater life-years gained compared to annual high-sensitivity gFOBT or sDNA-FIT every 3 years?,Screening with annual FIT or annual sDNA-FIT provides an estimated greater life-years gained than annual high-sensitivity gFOBT or sDNA-FIT every 3 years.,0010,Direct Visualization Tests,5,information_extraction,,
breast_cancer_screening_01,breast_cancer_screening,At what age does the USPSTF recommend all women begin breast cancer screening?,The USPSTF recommends that all women get screened starting at age 40.,0003,Frequently Asked Questions,2,numeric_threshold,,
